Country_standard,Genotype,Seq_count,Total_seq,Genotype_prop,HCV_prevalence_abs,Est_infections_genotype,Coverage_ratio
Australia,HCV-1,175,359,0.48746518105849584,396945.34295051073,193497.03347169745,0.0009044066302215275
Australia,HCV-2,5,359,0.013927576601671309,396945.34295051073,5528.486670619926,0.0009044066302215276
Australia,HCV-3,175,359,0.48746518105849584,396945.34295051073,193497.03347169745,0.0009044066302215275
Australia,HCV-4,1,359,0.002785515320334262,396945.34295051073,1105.6973341239852,0.0009044066302215276
Australia,HCV-6,3,359,0.008356545961002786,396945.34295051073,3317.0920023719564,0.0009044066302215275
Austria,HCV-1,4,4,1.0,89594.91210036793,89594.91210036793,4.464539231333844e-05
Belarus,HCV-1,1,1,1.0,229704.1576291264,229704.1576291264,4.353425773052705e-06
Belgium,HCV-1,179,241,0.7427385892116183,123960.48922649251,92070.23888606706,0.0019441678675506072
Belgium,HCV-2,4,241,0.016597510373443983,123960.48922649251,2057.4355058339006,0.0019441678675506074
Belgium,HCV-3,29,241,0.12033195020746888,123960.48922649251,14916.40741729578,0.0019441678675506072
Belgium,HCV-4,28,241,0.11618257261410789,123960.48922649251,14402.048540837304,0.0019441678675506074
Belgium,HCV-7,1,241,0.004149377593360996,123960.48922649251,514.3588764584752,0.0019441678675506074
Benin,HCV-1,30,58,0.5172413793103449,357468.9637023301,184897.7398460328,0.00016225184810253203
Benin,HCV-2,28,58,0.4827586206896552,357468.9637023301,172571.2238562973,0.00016225184810253203
Brazil,HCV-2,2,3,0.6666666666666666,4673964.680018947,3115976.4533459647,6.418533740370153e-07
Brazil,HCV-3,1,3,0.3333333333333333,4673964.680018947,1557988.2266729823,6.418533740370153e-07
Burkina Faso,HCV-5,1,1,1.0,837177.529231765,837177.529231765,1.1944897767593559e-06
Cambodia,HCV-1,6,73,0.0821917808219178,819648.1837581466,67368.3438705326,8.906260203650997e-05
Cambodia,HCV-6,67,73,0.9178082191780822,819648.1837581466,752279.839887614,8.906260203650997e-05
Cameroon,HCV-1,7,13,0.5384615384615384,956089.1962623514,514817.2595258815,1.3597057733547273e-05
Cameroon,HCV-2,1,13,0.07692307692307693,956089.1962623514,73545.32278941164,1.3597057733547273e-05
Cameroon,HCV-4,5,13,0.38461538461538464,956089.1962623514,367726.6139470582,1.3597057733547273e-05
Canada,HCV-1,7,27,0.25925925925925924,280037.62080455216,72602.34613451351,9.64156170247005e-05
Canada,HCV-3,10,27,0.37037037037037035,280037.62080455216,103717.63733501932,9.641561702470049e-05
Canada,HCV-4,4,27,0.14814814814814814,280037.62080455216,41487.05493400773,9.641561702470049e-05
Canada,HCV-5,2,27,0.07407407407407407,280037.62080455216,20743.527467003863,9.641561702470049e-05
Canada,HCV-8,4,27,0.14814814814814814,280037.62080455216,41487.05493400773,9.641561702470049e-05
China,HCV-1,25,258,0.09689922480620156,19949350.92986145,1933076.6404904507,1.2932751592123695e-05
China,HCV-2,8,258,0.031007751937984496,19949350.92986145,618584.5249569442,1.2932751592123696e-05
China,HCV-3,128,258,0.49612403100775193,19949350.92986145,9897352.399311107,1.2932751592123696e-05
China,HCV-4,1,258,0.003875968992248062,19949350.92986145,77323.06561961802,1.2932751592123696e-05
China,HCV-5,1,258,0.003875968992248062,19949350.92986145,77323.06561961802,1.2932751592123696e-05
China,HCV-6,95,258,0.3682170542635659,19949350.92986145,7345691.233863711,1.2932751592123698e-05
Cyprus,HCV-1,3,5,0.6,10770.683286614403,6462.409971968642,0.0004642231014455604
Cyprus,HCV-4,2,5,0.4,10770.683286614403,4308.273314645761,0.0004642231014455604
Democratic Republic of the Congo,HCV-7,1,1,1.0,3080726.240363145,3080726.240363145,3.2459878677247337e-07
Denmark,HCV-1,12,104,0.11538461538461539,56666.03590777495,6538.388758589418,0.0018353145466053415
Denmark,HCV-2,55,104,0.5288461538461539,56666.03590777495,29967.615143534833,0.0018353145466053415
Denmark,HCV-3,28,104,0.2692307692307692,56666.03590777495,15256.24043670864,0.0018353145466053417
Denmark,HCV-4,8,104,0.07692307692307693,56666.03590777495,4358.925839059612,0.0018353145466053415
Denmark,HCV-6,1,104,0.009615384615384616,56666.03590777495,544.8657298824515,0.0018353145466053415
Egypt,HCV-1,3,17,0.17647058823529413,3152691.514324789,556357.3260573157,5.392218021572239e-06
Egypt,HCV-4,14,17,0.8235294117647058,3152691.514324789,2596334.188267473,5.392218021572239e-06
Equatorial Guinea,HCV-1,2,2,1.0,36001.48180367334,36001.48180367334,5.555326891561263e-05
France,HCV-1,40,63,0.6349206349206349,552905.1002532132,351050.8573036274,0.00011394360437468921
France,HCV-2,15,63,0.23809523809523808,552905.1002532132,131644.07148886027,0.00011394360437468923
France,HCV-3,1,63,0.015873015873015872,552905.1002532132,8776.271432590685,0.00011394360437468921
France,HCV-4,6,63,0.09523809523809523,552905.1002532132,52657.62859554411,0.00011394360437468921
France,HCV-7,1,63,0.015873015873015872,552905.1002532132,8776.271432590685,0.00011394360437468921
Gabon,HCV-4,4,4,1.0,71493.76897035846,71493.76897035846,5.594893174058864e-05
Germany,HCV-1,52,68,0.7647058823529411,916588.8635235152,700920.8956356292,7.418811498385116e-05
Germany,HCV-4,16,68,0.23529411764705882,916588.8635235152,215667.96788788593,7.418811498385115e-05
Ghana,HCV-1,3,3,1.0,1111157.948410749,1111157.948410749,2.6998861901593712e-06
Guinea,HCV-2,17,17,1.0,391818.74758178537,391818.74758178537,4.3387408348681796e-05
India,HCV-1,5,40,0.125,16618892.547321483,2077361.5684151854,2.4068992495199036e-06
India,HCV-3,34,40,0.85,16618892.547321483,14126058.665223261,2.4068992495199036e-06
India,HCV-5,1,40,0.025,16618892.547321483,415472.3136830371,2.4068992495199036e-06
Indonesia,HCV-1,1,1,1.0,7529192.352933659,7529192.352933659,1.328163703521749e-07
Italy,HCV-1,1,1,1.0,1306497.0114008232,1306497.0114008232,7.654055013319947e-07
Ivory Coast,HCV-1,3,3,1.0,,,
Japan,HCV-1,141,183,0.7704918032786885,2071900.485326104,1596382.3411529,8.832470540745926e-05
Japan,HCV-2,25,183,0.1366120218579235,2071900.485326104,283046.51438881207,8.832470540745924e-05
Japan,HCV-3,13,183,0.07103825136612021,2071900.485326104,147184.18748218226,8.832470540745926e-05
Japan,HCV-4,4,183,0.02185792349726776,2071900.485326104,45287.44230220993,8.832470540745924e-05
Malaysia,HCV-6,1,1,1.0,931948.3147750896,931948.3147750896,1.0730208791045816e-06
Mexico,HCV-1,10,10,1.0,1836203.0211980373,1836203.0211980373,5.446020883614201e-06
Myanmar,HCV-1,1,8,0.125,1843603.0716343825,230450.3839542978,4.3393288517944795e-06
Myanmar,HCV-3,1,8,0.125,1843603.0716343825,230450.3839542978,4.3393288517944795e-06
Myanmar,HCV-6,6,8,0.75,1843603.0716343825,1382702.303725787,4.339328851794479e-06
Nepal,HCV-1,9,44,0.20454545454545456,247772.8993805232,50680.82032783429,0.0001775819716765147
Nepal,HCV-3,35,44,0.7954545454545454,247772.8993805232,197092.0790526889,0.00017758197167651473
Netherlands,HCV-1,23,41,0.5609756097560976,117697.81842488237,66025.60545786085,0.00034834970221786396
Netherlands,HCV-4,14,41,0.34146341463414637,117697.81842488237,40189.49897435008,0.000348349702217864
Netherlands,HCV-5,4,41,0.0975609756097561,117697.81842488237,11482.713992671452,0.00034834970221786396
New Zealand,HCV-1,1,2,0.5,68304.69138644024,34152.34569322012,2.9280565644968823e-05
New Zealand,HCV-2,1,2,0.5,68304.69138644024,34152.34569322012,2.9280565644968823e-05
Nigeria,HCV-1,22,22,1.0,7038859.480450791,7038859.480450791,3.125506349587057e-06
Pakistan,HCV-1,1,4,0.25,5514257.115775546,1378564.2789438865,7.253923631084484e-07
Pakistan,HCV-3,3,4,0.75,5514257.115775546,4135692.8368316595,7.253923631084484e-07
Puerto Rico,HCV-1,1,1,1.0,57576.47056340271,57576.47056340271,1.7368205973980443e-05
Russia,HCV-1,1,1,1.0,,,
Saudi Arabia,HCV-4,1,1,1.0,976532.6522670106,976532.6522670106,1.024031298573079e-06
Senegal,HCV-3,1,1,1.0,303063.59050908225,303063.59050908225,3.299637539171938e-06
South Africa,HCV-5,6,6,1.0,926778.6901760884,926778.6901760884,6.474037506041488e-06
Spain,HCV-1,2,4,0.5,473046.4077587072,236523.2038793536,8.455829987066154e-06
Spain,HCV-2,2,4,0.5,473046.4077587072,236523.2038793536,8.455829987066154e-06
Sri Lanka,HCV-1,2,24,0.08333333333333333,507334.0998468945,42277.841653907875,4.730610461083303e-05
Sri Lanka,HCV-3,22,24,0.9166666666666666,507334.0998468945,465056.2581929866,4.7306104610833035e-05
Switzerland,HCV-1,94,94,1.0,101376.41388639771,101376.41388639771,0.0009272373759969088
"Taiwan, Province of China",HCV-6,3,3,1.0,,,
Thailand,HCV-2,1,2,0.5,1574428.6836604937,787214.3418302468,1.2703020598875697e-06
Thailand,HCV-6,1,2,0.5,1574428.6836604937,787214.3418302468,1.2703020598875697e-06
Tunisia,HCV-2,6,6,1.0,232187.8432934557,232187.8432934557,2.584114618101159e-05
Uganda,HCV-4,12,13,0.9230769230769231,920801.8218038436,849970.9124343172,1.4118130190634399e-05
Uganda,HCV-7,1,13,0.07692307692307693,920801.8218038436,70830.90936952643,1.4118130190634399e-05
Ukraine,HCV-1,33,33,1.0,1535428.235005746,1535428.235005746,2.1492375382739074e-05
United Kingdom,HCV-1,122,179,0.6815642458100558,715992.5338698323,487994.9113526231,0.00025000260691620884
United Kingdom,HCV-2,20,179,0.11173184357541899,715992.5338698323,79999.16579551199,0.0002500026069162088
United Kingdom,HCV-3,21,179,0.11731843575418995,715992.5338698323,83999.12408528759,0.0002500026069162088
United Kingdom,HCV-4,12,179,0.0670391061452514,715992.5338698323,47999.49947730719,0.00025000260691620884
United Kingdom,HCV-6,1,179,0.00558659217877095,715992.5338698323,3999.9582897755995,0.0002500026069162088
United Kingdom,HCV-8,3,179,0.01675977653631285,715992.5338698323,11999.874869326797,0.00025000260691620884
United States,HCV-1,1253,1475,0.8494915254237289,,,
United States,HCV-2,111,1475,0.07525423728813559,,,
United States,HCV-3,100,1475,0.06779661016949153,,,
United States,HCV-4,6,1475,0.004067796610169492,,,
United States,HCV-5,1,1475,0.0006779661016949153,,,
United States,HCV-6,4,1475,0.002711864406779661,,,
Unknown,HCV-1,2,2,1.0,,,
"Venezuela, Bolivarian Republic of",HCV-2,2,2,1.0,,,
Viet Nam,HCV-1,1,2,0.5,2342721.785001104,1171360.892500552,8.537078592962575e-07
Viet Nam,HCV-6,1,2,0.5,2342721.785001104,1171360.892500552,8.537078592962575e-07
