Taxa	Genotype	Country	Date
PV555148.1	HBV-C	China	2019
PV021398.1	HBV-E	Nigeria	2023
PQ772200.1	HBV-D	Palestine	2023
PQ772199.1	HBV-D	Palestine	2023
PQ772198.1	HBV-D	Palestine	2023
PQ772197.1	HBV-D	Palestine	2023
PQ655428.1	HBV-D	Argentina	2024
PQ655427.1	HBV-D	Argentina	2024
PQ655426.1	HBV-D	Argentina	2024
PQ655425.1	HBV-D	Argentina	2024
PQ655424.1	HBV-D	Argentina	2024
PQ655423.1	HBV-D	Argentina	2024
PQ601185.1	HBV-D	Russia	2023
PQ601184.1	HBV-D	Russia	2022
PQ601183.1	HBV-D	Russia	2022
PQ601182.1	HBV-D	Russia	2023
PQ601181.1	HBV-D	Russia	2023
PQ601180.1	HBV-D	Russia	2022
PQ601179.1	HBV-D	Russia	2023
PQ601178.1	HBV-D	Russia	2022
PQ601177.1	HBV-D	Russia	2022
PQ601176.1	HBV-D	Russia	2023
PQ601175.1	HBV-D	Russia	2022
PQ601174.1	HBV-D	Russia	2022
PQ601173.1	HBV-D	Russia	2023
PQ601172.1	HBV-D	Russia	2022
PQ601171.1	HBV-D	Russia	2022
PQ601170.1	HBV-D	Russia	2021
PQ601169.1	HBV-D	Russia	2023
PQ601168.1	HBV-D	Russia	2022
PQ601167.1	HBV-D	Russia	2021
PQ601166.1	HBV-D	Russia	2022
PQ601165.1	HBV-D	Russia	2022
PQ601164.1	HBV-D	Russia	2023
PQ601163.1	HBV-D	Russia	2022
PQ601162.1	HBV-D	Russia	2023
PQ601161.1	HBV-D	Russia	2021
PQ601160.1	HBV-D	Russia	2021
PQ601159.1	HBV-D	Russia	2022
PQ601158.1	HBV-D	Russia	2022
PQ601157.1	HBV-D	Russia	2023
PQ601156.1	HBV-D	Russia	2023
PQ601155.1	HBV-D	Russia	2023
PQ601154.1	HBV-D	Russia	2021
PQ601153.1	HBV-D	Russia	2023
PQ601152.1	HBV-D	Russia	2022
PQ601151.1	HBV-D	Russia	2021
PQ601150.1	HBV-D	Russia	2022
PQ601149.1	HBV-D	Russia	2023
PQ601148.1	HBV-D	Russia	2023
PQ601147.1	HBV-D	Russia	2021
PQ601146.1	HBV-D	Russia	2022
PQ601145.1	HBV-D	Russia	2023
PQ601144.1	HBV-D	Russia	2022
PQ601143.1	HBV-D	Russia	2021
PQ601142.1	HBV-D	Russia	2023
PQ601141.1	HBV-D	Russia	2022
PQ601140.1	HBV-D	Russia	2022
PQ601139.1	HBV-D	Russia	2023
PQ601138.1	HBV-D	Russia	2023
PQ601137.1	HBV-D	Russia	2022
PQ601136.1	HBV-D	Russia	2022
PQ601135.1	HBV-D	Russia	2022
PQ601134.1	HBV-D	Russia	2022
PQ601133.1	HBV-D	Russia	2023
PQ601132.1	HBV-D	Russia	2022
PQ601131.1	HBV-D	Russia	2023
PQ601130.1	HBV-D	Russia	2022
PQ601129.1	HBV-D	Russia	2022
PQ601128.1	HBV-D	Russia	2021
PQ601127.1	HBV-D	Russia	2023
PQ601126.1	HBV-D	Russia	2022
PQ601125.1	HBV-C	Russia	2021
PQ601124.1	HBV-A	Russia	2022
PQ601123.1	HBV-A	Russia	2021
PQ601122.1	HBV-A	Russia	2023
PQ257002.1	HBV-D	India	2024
PQ257001.1	HBV-D	India	2024
PQ257000.1	HBV-D	India	2024
PQ256999.1	HBV-D	India	2024
PQ256998.1	HBV-D	India	2024
PQ256997.1	HBV-D	India	2024
PQ256996.1	HBV-D	India	2024
PQ256995.1	HBV-D	India	2024
PQ256994.1	HBV-D	India	2024
PQ256993.1	HBV-D	India	2024
PQ256992.1	HBV-D	India	2024
PQ256991.1	HBV-D	India	2024
PQ256990.1	HBV-D	India	2024
PQ256989.1	HBV-D	India	2024
PQ256988.1	HBV-D	India	2024
PQ256987.1	HBV-D	India	2024
PQ256986.1	HBV-D	India	2024
PQ256985.1	HBV-D	India	2024
PQ256984.1	HBV-D	India	2024
PQ256983.1	HBV-D	India	2024
PQ256982.1	HBV-D	India	2024
PQ256981.1	HBV-D	India	2024
PQ256980.1	HBV-D	India	2024
PQ256979.1	HBV-D	India	2024
PQ256978.1	HBV-D	India	2022
PQ256977.1	HBV-D	India	2022
PQ256976.1	HBV-D	India	2022
PQ256975.1	HBV-D	India	2022
PQ256974.1	HBV-D	India	2022
PQ256973.1	HBV-D	India	2022
PQ256972.1	HBV-D	India	2022
PQ256971.1	HBV-D	India	2022
PQ256970.1	HBV-D	India	2022
PQ256969.1	HBV-D	India	2022
PQ256968.1	HBV-D	India	2022
PQ256967.1	HBV-D	India	2022
PQ256966.1	HBV-D	India	2024
PQ256965.1	HBV-D	India	2024
PQ046060.1	HBV-B	Viet Nam	2018
PQ046059.1	HBV-B	Viet Nam	2018
PQ046058.1	HBV-B	Viet Nam	2018
PQ046057.1	HBV-C	Viet Nam	2018
PQ046056.1	HBV-C	Viet Nam	2018
PQ046055.1	HBV-C	Viet Nam	2018
PQ046054.1	HBV-C	Viet Nam	2018
PP921800.1	HBV-I	China	2007
PP921799.1	HBV-I	China	2007
PP921798.1	HBV-I	China	2007
PP921797.1	HBV-I	China	2007
PP921796.1	HBV-I	China	2007
PP445060.1	HBV-A	Senegal	2021
PP445059.1	HBV-E	Senegal	2021
PP445058.1	HBV-A	Senegal	2022
PP445057.1	HBV-D	Senegal	2022
PP445056.1	HBV-E	Senegal	2021
PP445055.1	HBV-E	Senegal	2021
PP445054.1	HBV-A	Senegal	2021
PP445053.1	HBV-E	Senegal	2020
PP393591.1	HBV-D	Russia	2023
PP393590.1	HBV-D	Russia	2023
PP393589.1	HBV-D	Russia	2023
PP393588.1	HBV-D	Russia	2023
PP393587.1	HBV-D	Russia	2023
PP393586.1	HBV-D	Russia	2023
PP393585.1	HBV-D	Russia	2023
PP393584.1	HBV-D	Russia	2023
PP393583.1	HBV-D	Russia	2023
PP393582.1	HBV-D	Russia	2023
PP393581.1	HBV-D	Russia	2023
PP393580.1	HBV-D	Russia	2023
PP393579.1	HBV-D	Russia	2023
PP393578.1	HBV-D	Russia	2023
PP393577.1	HBV-D	Russia	2023
PP393576.1	HBV-D	Russia	2023
PP393575.1	HBV-D	Russia	2023
PP393574.1	HBV-D	Russia	2023
PP393573.1	HBV-D	Russia	2023
PP393572.1	HBV-D	Russia	2023
PP393571.1	HBV-D	Russia	2023
PP393570.1	HBV-D	Russia	2023
PP393569.1	HBV-D	Russia	2023
PP393568.1	HBV-D	Russia	2023
PP393567.1	HBV-D	Russia	2023
PP393566.1	HBV-D	Russia	2023
PP373707.1	HBV-A	China	2022
PP123892.1	HBV-A	South Africa	2022
PP123891.1	HBV-A	South Africa	2022
PP123890.1	HBV-A	South Africa	2022
PP123889.1	HBV-A	South Africa	2022
PP123888.1	HBV-A	South Africa	2022
PP123887.1	HBV-A	South Africa	2022
PP123885.1	HBV-A	South Africa	2022
PP123884.1	HBV-A	South Africa	2022
PP123883.1	HBV-A	South Africa	2022
PP123882.1	HBV-A	South Africa	2022
PP123881.1	HBV-A	South Africa	2022
PP123880.1	HBV-A	South Africa	2022
PP123878.1	HBV-A	South Africa	2022
PP123876.1	HBV-A	South Africa	2022
PP123875.1	HBV-A	South Africa	2022
PP123874.1	HBV-A	South Africa	2022
PP123873.1	HBV-D	South Africa	2022
PP123872.1	HBV-A	South Africa	2022
PP123871.1	HBV-A	South Africa	2022
PP123870.1	HBV-A	South Africa	2022
PP123869.1	HBV-A	South Africa	2022
PP123868.1	HBV-D	South Africa	2022
PP123867.1	HBV-A	South Africa	2022
PP123866.1	HBV-A	South Africa	2022
PP123865.1	HBV-A	South Africa	2022
PP123864.1	HBV-E	South Africa	2022
PP123863.1	HBV-E	South Africa	2022
PP123862.1	HBV-A	South Africa	2022
PP123861.1	HBV-D	South Africa	2022
PP123860.1	HBV-A	South Africa	2022
PP123859.1	HBV-A	South Africa	2022
PP123858.1	HBV-A	South Africa	2022
PP123857.1	HBV-A	South Africa	2022
PP123856.1	HBV-A	South Africa	2022
PP123855.1	HBV-A	South Africa	2023
PP123854.1	HBV-A	South Africa	2023
PP123853.1	HBV-A	South Africa	2023
PP123852.1	HBV-A	South Africa	2023
PP123851.1	HBV-D	South Africa	2023
PP123850.1	HBV-A	South Africa	2023
PP123849.1	HBV-A	South Africa	2023
PP123848.1	HBV-A	South Africa	2023
PP123847.1	HBV-A	South Africa	2023
PP123846.1	HBV-A	South Africa	2023
PP123845.1	HBV-D	South Africa	2023
PP123844.1	HBV-A	South Africa	2023
PP123843.1	HBV-A	South Africa	2023
PP123842.1	HBV-A	South Africa	2023
PP123841.1	HBV-A	South Africa	2023
PP123840.1	HBV-A	South Africa	2023
PP123839.1	HBV-D	South Africa	2023
PP123838.1	HBV-A	South Africa	2023
PP123836.1	HBV-A	South Africa	2023
PP123835.1	HBV-A	South Africa	2023
PP123834.1	HBV-D	South Africa	2023
PP123832.1	HBV-A	South Africa	2023
PP123831.1	HBV-A	South Africa	2023
PP123830.1	HBV-A	South Africa	2023
PP123829.1	HBV-A	South Africa	2023
PP123828.1	HBV-A	South Africa	2023
PP123827.1	HBV-A	South Africa	2023
PP123826.1	HBV-A	South Africa	2023
PP123825.1	HBV-A	South Africa	2023
PP123823.1	HBV-A	South Africa	2023
PP123822.1	HBV-A	South Africa	2023
PP123821.1	HBV-A	South Africa	2023
PP123820.1	HBV-D	South Africa	2023
PP123819.1	HBV-A	South Africa	2023
PP123818.1	HBV-A	South Africa	2023
PP123817.1	HBV-A	South Africa	2023
PP123816.1	HBV-A	South Africa	2023
PP123815.1	HBV-A	South Africa	2023
PP123814.1	HBV-A	South Africa	2023
PP123813.1	HBV-A	South Africa	2023
PP123812.1	HBV-A	South Africa	2023
PP123811.1	HBV-A	South Africa	2023
PP123810.1	HBV-A	South Africa	2023
PP123809.1	HBV-A	South Africa	2023
PP123808.1	HBV-A	South Africa	2023
PP123807.1	HBV-D	South Africa	2023
PP123806.1	HBV-A	South Africa	2023
PP123804.1	HBV-A	South Africa	2023
PP123803.1	HBV-A	South Africa	2023
PP123802.1	HBV-D	South Africa	2023
PP123801.1	HBV-A	South Africa	2023
PP123800.1	HBV-A	South Africa	2023
PP123799.1	HBV-A	South Africa	2023
PP123798.1	HBV-A	South Africa	2023
PP123797.1	HBV-A	South Africa	2023
PP123796.1	HBV-A	South Africa	2023
PP123795.1	HBV-A	South Africa	2023
PP123794.1	HBV-D	South Africa	2023
PP123793.1	HBV-A	South Africa	2023
PP123792.1	HBV-A	South Africa	2023
PP123791.1	HBV-D	South Africa	2023
PP123790.1	HBV-A	South Africa	2023
PP123789.1	HBV-D	South Africa	2023
PP123788.1	HBV-A	South Africa	2023
PP123787.1	HBV-A	South Africa	2023
PP123786.1	HBV-D	South Africa	2023
PP123785.1	HBV-A	South Africa	2023
PP123784.1	HBV-A	South Africa	2023
PP123783.1	HBV-D	South Africa	2023
PP123782.1	HBV-A	South Africa	2023
PP123781.1	HBV-A	South Africa	2023
PP123780.1	HBV-A	South Africa	2023
PP123778.1	HBV-A	South Africa	2023
PP123777.1	HBV-A	South Africa	2023
PP123776.1	HBV-A	South Africa	2023
PP123775.1	HBV-A	South Africa	2023
PP123774.1	HBV-D	South Africa	2023
PP123773.1	HBV-A	South Africa	2023
PP123772.1	HBV-A	South Africa	2023
PP123771.1	HBV-A	South Africa	2023
PP123770.1	HBV-D	South Africa	2023
PP123769.1	HBV-A	South Africa	2023
PP123768.1	HBV-A	South Africa	2023
PP123767.1	HBV-D	South Africa	2023
